iter	Passed	Remaining
647	6779	3682
648	6790	3672
649	6801	3662
650	6811	3651
651	6821	3641
652	6832	3630
653	6842	3619
654	6852	3609
655	6862	3598
656	6872	3588
657	6882	3577
658	6892	3566
659	6903	3556
660	6913	3545
661	6924	3535
662	6934	3524
663	6943	3513
664	6953	3503
665	6964	3492
666	6974	3482
667	6985	3471
668	6996	3461
669	7007	3451
670	7016	3440
671	7027	3430
672	7039	3420
673	7050	3410
674	7060	3399
675	7070	3389
676	7081	3378
677	7091	3367
678	7102	3357
679	7112	3347
680	7124	3337
681	7133	3326
682	7144	3316
683	7155	3305
684	7165	3295
685	7175	3284
686	7186	3274
687	7196	3263
688	7206	3252
689	7216	3242
690	7227	3231
691	7237	3221
692	7247	3210
693	7257	3200
694	7267	3189
695	7278	3179
696	7288	3168
697	7298	3157
698	7309	3147
699	7318	3136
700	7329	3126
701	7339	3115
702	7349	3105
703	7360	3094
704	7371	3084
705	7381	3073
706	7393	3063
707	7403	3053
708	7414	3043
709	7424	3032
710	7434	3021
711	7444	3011
712	7454	3000
713	7465	2990
714	7475	2979
715	7485	2969
716	7495	2958
717	7505	2947
718	7516	2937
719	7527	2927
720	7537	2916
721	7547	2905
722	7557	2895
723	7568	2885
724	7578	2874
725	7588	2863
726	7598	2853
727	7608	2842
728	7619	2832
729	7629	2821
730	7639	2811
731	7650	2800
732	7660	2790
733	7670	2779
734	7680	2769
735	7690	2758
736	7701	2748
737	7711	2737
738	7721	2727
739	7732	2716
740	7742	2706
741	7752	2695
742	7763	2685
743	7780	2677
744	7790	2666
745	7800	2655
746	7810	2645
747	7821	2635
748	7833	2624
749	7844	2614
750	7855	2604
751	7866	2594
752	7876	2583
753	7888	2573
754	7899	2563
755	7910	2553
756	7920	2542
757	7931	2532
758	7941	2521
759	7952	2511
760	7962	2500
761	7972	2490
762	7984	2479
763	7994	2469
764	8005	2459
765	8015	2448
766	8026	2438
767	8036	2427
768	8046	2417
769	8056	2406
770	8067	2396
771	8077	2385
772	8088	2375
773	8098	2364
774	8109	2354
775	8120	2344
776	8130	2333
777	8140	2322
778	8151	2312
779	8161	2302
780	8172	2291
781	8183	2281
782	8193	2270
783	8204	2260
784	8215	2250
785	8225	2239
786	8235	2228
787	8245	2218
788	8255	2207
789	8266	2197
790	8277	2186
791	8287	2176
792	8297	2165
793	8307	2155
794	8318	2144
795	8327	2134
796	8338	2123
797	8348	2113
798	8358	2102
799	8368	2092
800	8378	2081
801	8388	2070
802	8398	2060
803	8409	2049
804	8418	2039
805	8429	2028
806	8439	2018
807	8449	2007
808	8460	1997
809	8470	1986
810	8481	1976
811	8492	1966
812	8502	1955
813	8512	1945
814	8523	1934
815	8534	1924
816	8544	1913
817	8554	1903
818	8565	1892
819	8575	1882
820	8585	1871
821	8595	1861
822	8606	1850
823	8617	1840
824	8627	1830
825	8636	1819
826	8647	1808
827	8656	1798
828	8667	1787
829	8677	1777
830	8688	1766
831	8697	1756
832	8707	1745
833	8718	1735
834	8727	1724
835	8738	1714
836	8748	1703
837	8758	1693
838	8768	1682
839	8778	1672
840	8789	1661
841	8799	1651
842	8810	1640
843	8820	1630
844	8830	1619
845	8841	1609
846	8851	1598
847	8861	1588
848	8872	1578
849	8882	1567
850	8892	1556
851	8902	1546
852	8911	1535
853	8922	1525
854	8932	1514
855	8943	1504
856	8954	1494
857	8964	1483
858	8975	1473
859	8985	1462
860	8996	1452
861	9007	1441
862	9018	1431
863	9028	1421
864	9039	1410
865	9049	1400
866	9059	1389
867	9069	1379
868	9080	1368
869	9090	1358
870	9101	1348
871	9112	1337
872	9122	1327
873	9133	1316
874	9143	1306
875	9153	1295
876	9164	1285
877	9174	1274
878	9185	1264
879	9195	1253
880	9205	1243
881	9215	1232
882	9225	1222
883	9236	1212
884	9246	1201
885	9256	1191
886	9266	1180
887	9276	1170
888	9287	1159
889	9297	1149
890	9307	1138
891	9317	1128
892	9326	1117
893	9337	1107
894	9347	1096
895	9357	1086
896	9367	1075
897	9378	1065
898	9389	1054
899	9399	1044
900	9409	1033
901	9419	1023
902	9430	1012
903	9440	1002
904	9450	992
905	9460	981
906	9470	971
907	9481	960
908	9491	950
909	9501	939
910	9511	929
911	9522	918
912	9533	908
913	9543	897
914	9553	887
915	9563	877
916	9573	866
917	9583	856
918	9593	845
919	9603	835
920	9614	824
921	9625	814
922	9636	803
923	9647	793
924	9657	783
925	9668	772
926	9678	762
927	9688	751
928	9698	741
929	9708	730
930	9718	720
931	9728	709
932	9738	699
933	9748	688
934	9758	678
935	9769	667
936	9779	657
937	9789	647
938	9799	636
939	9809	626
940	9819	615
941	9829	605
942	9839	594
943	9849	584
944	9859	573
945	9870	563
946	9880	552
947	9890	542
948	9900	532
949	9910	521
950	9920	511
951	9931	500
952	9941	490
953	9953	479
954	9964	469
955	9976	459
956	9987	448
957	9998	438
958	10008	427
959	10019	417
960	10030	407
961	10041	396
962	10052	386
963	10063	375
964	10075	365
965	10087	355
966	10099	344
967	10109	334
968	10120	323
969	10131	313
970	10141	302
971	10152	292
972	10163	282
973	10174	271
974	10185	261
975	10200	250
976	10211	240
977	10221	229
978	10233	219
979	10243	209
980	10254	198
981	10264	188
982	10274	177
983	10284	167
984	10295	156
985	10305	146
986	10315	135
987	10325	125
988	10335	114
989	10345	104
990	10355	94
991	10365	83
992	10376	73
993	10385	62
994	10395	52
995	10405	41
996	10415	31
997	10426	20
998	10443	10
999	10453	0
