iter	Passed	Remaining
940	14584	914
941	14600	898
942	14616	883
943	14633	868
944	14647	852
945	14664	837
946	14680	821
947	14699	806
948	14715	790
949	14731	775
950	14747	759
951	14764	744
952	14781	728
953	14799	713
954	14820	698
955	14840	683
956	14863	667
957	14882	652
958	14898	636
959	14917	621
960	14936	606
961	14954	590
962	14971	575
963	14989	559
964	15007	544
965	15024	528
966	15042	513
967	15060	497
968	15079	482
969	15096	466
970	15113	451
971	15131	435
972	15148	420
973	15165	404
974	15182	389
975	15198	373
976	15214	358
977	15230	342
978	15244	327
979	15260	311
980	15277	295
981	15293	280
982	15308	264
983	15324	249
984	15338	233
985	15353	217
986	15368	202
987	15382	186
988	15398	171
989	15415	155
990	15429	140
991	15446	124
992	15463	109
993	15479	93
994	15495	77
995	15511	62
996	15527	46
997	15542	31
998	15559	15
999	15574	0
